Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_AM,o00407-0203800330039.logjez,02038,0033,1058,0039,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,594CF522
2022_2t_AM,o00407-0203800330040.logjez,02038,0033,1104,0040,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C1743071
2022_2t_AM,o00407-0203800330041.logjez,02038,0033,1112,0041,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,30441538
2022_2t_AM,o00407-0203800330042.logjez,02038,0033,1023,0042,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,FAB64472
2022_2t_AM,o00407-0203800330043.logjez,02038,0033,1058,0043,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,DDC85833
2022_2t_AM,o00407-0203800330044.logjez,02038,0033,1023,0044,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,53CCFB86
2022_2t_AM,o00407-0203800330045.logjez,02038,0033,1066,0045,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,539995F4
2022_2t_AM,o00407-0203800330046.logjez,02038,0033,1023,0046,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,34C3098D
2022_2t_AM,o00407-0204600310748.logjez,02046,0031,1015,0748,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,9746F849
2022_2t_AM,o00407-0204600310749.logjez,02046,0031,1015,0749,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,B8D292FF
2022_2t_AM,o00407-0204600310750.logjez,02046,0031,1023,0750,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0FB65E93
2022_2t_AM,o00407-0204600310751.logjez,02046,0031,1023,0751,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,AB387000
2022_2t_AM,o00407-0204600310752.logjez,02046,0031,1023,0752,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C38D8F68
2022_2t_AM,o00407-0204600310753.logjez,02046,0031,1031,0753,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0FBBDC6E
2022_2t_AM,o00407-0204600310754.logjez,02046,0031,1031,0754,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2E22A17B
2022_2t_AM,o00407-0204600310755.logjez,02046,0031,1058,0755,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,8323825E
2022_2t_AM,o00407-0204600310756.logjez,02046,0031,1058,0756,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2D736DC3
2022_2t_AM,o00407-0204600310757.logjez,02046,0031,1066,0757,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F79562FE
2022_2t_AM,o00407-0204600310758.logjez,02046,0031,1066,0758,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,65151B16
2022_2t_AM,o00407-0204600310759.logjez,02046,0031,1066,0759,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A95203D0
2022_2t_AM,o00407-0204600310760.logjez,02046,0031,1066,0760,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C1AF9AFC
2022_2t_AM,o00407-0204600310761.logjez,02046,0031,1066,0761,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,466A454F
2022_2t_AM,o00407-0204600310762.logjez,02046,0031,1074,0762,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D03F4533
2022_2t_AM,o00407-0204600310763.logjez,02046,0031,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,DDB7D96F
2022_2t_AM,o00407-0204600310764.logjez,02046,0031,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D1B2B6A0
2022_2t_AM,o00407-0204600310765.logjez,02046,0031,1074,0765,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6680C1B9
2022_2t_AM,o00407-0204600310766.logjez,02046,0031,1074,0766,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5B79BFF0
2022_2t_AM,o00407-0204600310767.logjez,02046,0031,1074,0767,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,BCB84182
2022_2t_AM,o00407-0204600310768.logjez,02046,0031,1074,0768,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A86C8DD8
2022_2t_AM,o00407-0204600310769.logjez,02046,0031,1074,0769,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0D6ACB64
2022_2t_AM,o00407-0204600310770.logjez,02046,0031,1082,0770,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,44354B90
2022_2t_AM,o00407-0204600310771.logjez,02550,0037,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2011,Oficial,1A880378
2022_2t_AM,o00407-0204600310772.logjez,02046,0031,1082,0772,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,95CD3299
2022_2t_AM,o00407-0204600310773.logjez,02046,0031,1082,0773,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,9775E076
2022_2t_AM,o00407-0204600310774.logjez,02046,0031,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,AAB312D8
2022_2t_AM,o00407-0204600310775.logjez,02046,0031,1120,0775,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,55D6E916
2022_2t_AM,o00407-0204600310776.logjez,02046,0031,1155,0776,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2EED7070
